#,Reference,Designation,Unite,Fournisseur,PU_HT,PU_TTC
1,KY2N-D10,Mousse DOLENO 200×180×10mm BLANC,Pièce,KY2N ARTON,495,594
2,KY2N-D05,Mousse DOLENO 200×180×5mm BLANC,Pièce,KY2N ARTON,247.5,297
3,KY2N-D03,Mousse DOLENO 200×180×3mm BLANC,Pièce,KY2N ARTON,150,180
4,KY2N-D02,Mousse DOLENO 200×180×2mm BLANC,Pièce,KY2N ARTON,100,120
5,KY2N-D15,Mousse DOLENO 200×180×1.5mm BLANC,Pièce,KY2N ARTON,75,90
6,KY2N-D01,Mousse DOLENO 200×180×1mm BLANC,Pièce,KY2N ARTON,52.7,63.24
7,KY2N-A10,Mousse ABS DOLENO 200×180×10mm BLEU,Pièce,KY2N ARTON,529.2,635
8,KY2N-A03,Mousse ABS DOLENO 200×180×3mm BLEU,Pièce,KY2N ARTON,150,180
9,KY2N-AP10,Mousse ABS PLUS 200×180×10mm BLEU,Pièce,KY2N ARTON,529.2,635
10,KY2N-AP05,Mousse ABS PLUS 200×180×5mm BLEU,Pièce,KY2N ARTON,250,300
11,KY2N-H10,Mousse HANAE 200×180×10mm BLEU,Pièce,KY2N ARTON,458.3,550
12,KY2N-H05,Mousse HANAE 200×180×5mm BLEU,Pièce,KY2N ARTON,229.2,275
13,KY2N-H03,Mousse HANAE 200×180×3mm BLEU,Pièce,KY2N ARTON,133.3,160
14,KY2N-S03,Mousse SANYA 200×180×3mm ROSE,Pièce,KY2N ARTON,70.26,84.31
15,KY2N-S01,Mousse SANYA 200×180×1mm ROSE,Pièce,KY2N ARTON,23.23,27.88
16,KY2N-SG,Mousse SANYA 180×130×5mm GRIS,Pièce,KY2N ARTON,75,90
17,KY2N-OUA,Ouate 120G Laize 150cm (Rouleau),ML,KY2N ARTON,283.3,340
18,KY2N-FIB,Sac Ouate Fibre Boule 10kg,Pièce,KY2N ARTON,162,194.4
19,KY2N-MT200,Matelas M33 Plus 200×160 Alèse Zip Beige,Pièce,KY2N ARTON,"1,625","1,950"
20,KY2N-MT180,Matelas M33 Plus 180×90 Alèse Zip Gris,Pièce,KY2N ARTON,750,900
21,KY2N-MT200S,Matelas 200×200 (ARTON),Pièce,KY2N ARTON,"2,167","2,600"
22,IGA-M10,Mousse 33 200×180×10cm,Pièce,IGADOR,529.6,635.5
23,IGA-M03,Mousse 33 200×180×3mm,Pièce,IGADOR,184,220.8
24,IGA-M15,Mousse 33 200×180×1.5mm,Pièce,IGADOR,91.99,110.4
25,IGA-M01,Mousse 33 200×180×1mm,Pièce,IGADOR,91.99,110.4
26,IGA-A03,Mousse ABS 200×180×3mm,Pièce,IGADOR,153.3,184
27,IGA-A05,Mousse ABS 200×180×5mm,Pièce,IGADOR,264.8,317.8
28,IGA-A10,Mousse ABS 200×180×10cm,Pièce,IGADOR,529.6,635.5
29,IGA-S02,Mousse Super 200×180×2mm,Pièce,IGADOR,260.6,312.8
30,IGA-S15,Mousse Super 200×180×1.5mm,Pièce,IGADOR,130.4,156.5
31,IGA-N3,Mousse Normale 3cm,Pièce,IGADOR,75,90
32,IGA-HR,Mousse HR 10cm,Pièce,IGADOR,"1,025","1,230"
33,IGA-FIB,Sac Fibre Boule,Pièce,IGADOR,158.3,190
34,IGA-OUA120,Rouleau Ouate 120G 150CM 50M,Pièce,IGADOR,275,330
35,IGA-OUA150,Rouleau Ouate 150G,Pièce,IGADOR,275,330
36,IGA-MPAS,Matelas Passadena 160×200,Pièce,IGADOR,"1,498","1,798"
37,IGA-MPAS180,Matelas Passadena 180×200,Pièce,IGADOR,"1,826","2,191"
38,IGA-MBD160,Matelas Best Dream 160×200,Pièce,IGADOR,"3,231","3,877"
39,IGA-MBD180,Matelas Best Dream 180×200,Pièce,IGADOR,"3,635","4,362"
40,IGA-MBD200,Matelas Best Dream 200×200,Pièce,IGADOR,"4,038","4,846"
41,IGA-MQA,Matelas Qasba 160×200,Pièce,IGADOR,"1,083","1,300"
42,TEG-M03,Mousse 33 03cm,Pièce,TEGUEMI SARL,129.2,155
43,TEG-M15,Mousse 33 1.5cm,Pièce,TEGUEMI SARL,79.17,95
44,TEG-M5,Mousse 33 5cm,Pièce,TEGUEMI SARL,214.2,257
45,TEG-M10,Mousse 33 10cm,Pièce,TEGUEMI SARL,425,510
46,TEG-A03,Mousse ABS 03,Pièce,TEGUEMI SARL,129.2,155
47,TEG-A10,Mousse ABS 10cm,Pièce,TEGUEMI SARL,425,510
48,TEG-FIB,Sac Fibre Boule,Pièce,TEGUEMI SARL,158.3,190
49,TEG-MQA,Matelas Qasba 160×200,Pièce,TEGUEMI SARL,"1,000","1,200"
50,TEG-M90,Matelas 90×180,Pièce,TEGUEMI SARL,708.3,850
51,TEG-ANT,Patin Anti-Glissage,Pièce,TEGUEMI SARL,12.5,15
52,MEN-MDF6,MDF Brut 06mm,Feuille,MENARA BOIS,275,330
53,MEN-MDF8,MDF Brut 08mm,Feuille,MENARA BOIS,333.3,400
54,MEN-MDF10,MDF Brut 10mm,Feuille,MENARA BOIS,400,480
55,MEN-MDF18,MDF Brut 18mm,Feuille,MENARA BOIS,650,780
56,MEN-MHGB,MDF Mélaminé High Gloss Blanc 18mm,Feuille,MENARA BOIS,737.5,885
57,MEN-SAP2,Sapin Rouge 2ème 100×19mm,ML,MENARA BOIS,10,12
58,MEN-SAP3,Sapin Rouge 3ème 175×25mm,ML,MENARA BOIS,22.5,27
59,MEN-ISO,Isorel 3050×1220×2.5mm,Feuille,MENARA BOIS,70,84
60,MEN-LFR50A,Hêtre France A 50mm,m³,MENARA BOIS,"8,750",1.05e+04
61,MEN-LFR80A,Hêtre France A 80mm,m³,MENARA BOIS,"8,750",1.05e+04
62,MEN-LFR50B,Hêtre France B 50mm,m³,MENARA BOIS,"6,583","7,900"
63,MEN-LFR80B,Hêtre France B 80mm,m³,MENARA BOIS,"6,583","7,900"
64,MEN-BOI6,Bois Rouge 6 2ème 200×63mm,ML,MENARA BOIS,60,72
65,MEN-CGB,Colle à Bois Dynaglo 30KG,Sac,MENARA BOIS,416.7,500
66,IAM-MDF8,MDF Brut 08mm,Feuille,IAMAR DARNA,325,390
67,IAM-MDF10,MDF Brut 10mm,Feuille,IAMAR DARNA,383.3,460
68,IAM-MDF16,MDF Brut 16mm,Feuille,IAMAR DARNA,525,630
69,IAM-MDF18,MDF Brut 18mm,Feuille,IAMAR DARNA,650,780
70,IAM-ISO,Isorel 3050×1220×2.5mm,Feuille,IAMAR DARNA,66.67,80
71,IAM-SAP,Sapin Blanc 175×25mm,ML,IAMAR DARNA,13.75,16.5
72,ELA-MDF16,MDF Brut 16mm,Feuille,ELAA BOIS,312.5,375
73,ELA-MNOY8,MDF Mélaminé Noyer 08mm,Feuille,ELAA BOIS,666.7,800
74,ELA-MNOY18,MDF Mélaminé Noyer 18mm,Feuille,ELAA BOIS,816.7,980
75,ELA-MHGB,High Gloss Blanco 1800×1220,Feuille,ELAA BOIS,816.7,980
76,ELA-CHNOIR,Bande de Chant Noir Mat 08 2cm,ML,ELAA BOIS,7.5,9
77,COM-MDF8,MDF Brut 08mm,Feuille,COMARBOIS SA,333.3,400
78,COM-MDF18,MDF Brut 18mm,Feuille,COMARBOIS SA,625,750
79,COM-MDF8X,MDF 08mm,Feuille,COMAR BOIS,333.3,400
80,COM-PLN,Placage Noyer 30cm,ML,COMAR BOIS,33.33,40
81,COM-CHANT,Chant Placage,ML,COMAR BOIS,5,6
82,SOC-ISO,Isorel 3050×1220×2.5mm,Feuille,SOCOB,55.83,67
83,SOC-MDF8,MDF Brut 08mm,Feuille,SOCOB,308.3,370
84,SOC-MDF10,MDF Brut 10mm,Feuille,SOCOB,353.3,424
85,SOC-MDF18,MDF Brut 18mm,Feuille,SOCOB,541.7,650
86,SOC-SAP,Sapin Blanc 175×25mm,ML,SOCOB,14.17,17
87,BER-PLN,Placage Noyer 30cm,ML,BERZOUQ,29.17,35
88,BER-CNOIR,Bande de Chant Noir Mat 08 2cm,ML,BERZOUQ,2.08,2.5
89,BER-CNOY,Chant Noyer 08 2cm,ML,BERZOUQ,2.083,2.5
90,LAG-TC16,Tube Carré 16×2mm,ML,LAGO METAL,50,60
91,LAG-TC20,Tube Carré 20×1.5mm,ML,LAGO METAL,62.5,75
92,LAG-TC202,Tube Carré 20×2mm,ML,LAGO METAL,70.83,85
93,LAG-TC40,Tube Carré 40×1.5mm,ML,LAGO METAL,112.5,135
94,LAG-TC50,Tube Carré 50×1.5mm,ML,LAGO METAL,141.7,170
95,LAG-TC60,Tube Carré 60×1.5mm,ML,LAGO METAL,175,210
96,LAG-TC80,Tube Carré 80×2mm,ML,LAGO METAL,333.3,400
97,LAG-TR2030,Tube Rectangle 20×30×1.5mm,ML,LAGO METAL,70.83,85
98,LAG-TR5030,Tube Rectangle 50×30×1.5mm,ML,LAGO METAL,112.5,135
99,LAG-TR5030X,Tube Rectangle 50×30 6m,ML,LAGO METAL,108.3,130
100,LAG-TR7040,Tube Rectangle 70×40×1.5mm,ML,LAGO METAL,158.3,190
101,LAG-TR702,Tube Rectangle 70×40×2mm,ML,LAGO METAL,187.5,225
102,LAG-RD16,Tube Rond 16×2mm,ML,LAGO METAL,68.33,82
103,LAG-RD2015,Tube Rond 20×1.5mm,ML,LAGO METAL,50,60
104,LAG-RD20,Tube Rond 20×2 6m,ML,LAGO METAL,58.33,70
105,LAG-RD33,Tube Rond 33×1.5mm,ML,LAGO METAL,75,90
106,LAG-RD332,Tube Rond 33×2mm,ML,LAGO METAL,87.5,105
107,LAG-RD40,Tube Rond 40×1.5mm,ML,LAGO METAL,95.83,115
108,LAG-RD50,Tube Rond 50×1.5mm,ML,LAGO METAL,141.7,170
109,LAG-RD60,Tube Rond 60×1.5mm,ML,LAGO METAL,141.7,170
110,LAG-FP20,Fer Plat 20×4mm,ML,LAGO METAL,27.5,33
111,LAG-FP50,Fer Plat 50×5mm,ML,LAGO METAL,125,150
112,LAG-FC8,Fer Carré N°08,ML,LAGO METAL,2.917,3.5
113,LAG-FC12,Fer Carré N°12,ML,LAGO METAL,50,60
114,LAG-RD08,Fer Rond N°08,ML,LAGO METAL,—,—
115,LAG-RD10,Fer Rond N°10,ML,LAGO METAL,29.17,35
116,LAG-RD16F,Fer Rond N°16,ML,LAGO METAL,75,90
117,LAG-FO20,Fer Ø20mm,ML,LAGO METAL,141.7,170
118,LAG-FH100,Fer H 100,ML,LAGO METAL,375,450
119,LAG-FU40,Fer U 40mm,ML,LAGO METAL,112.5,135
120,LAG-TN5,Tôle N°05 1m×2m,Feuille,LAGO METAL,875,"1,050"
121,LAG-TN12,Tôle N°12 1m×2m,Feuille,LAGO METAL,250,300
122,LAG-TN14,Tôle N°14 2m×1m,Feuille,LAGO METAL,233.3,280
123,LAG-TN15,Tôle N°15 1/2m,Feuille,LAGO METAL,266.7,320
124,LAG-TN153,Tôle N°15 3m×1.5m,Feuille,LAGO METAL,791.7,950
125,LAG-TN20,Tôle N°20 1/2m,Feuille,LAGO METAL,333.3,400
126,LAG-TN203,Tôle N°20 3m×1.5m,Feuille,LAGO METAL,950,"1,140"
127,LAG-TN28,Tôle N°28 1/2m,Feuille,LAGO METAL,483.3,580
128,LAG-TN30,Tôle N°30 1m×2m,Feuille,LAGO METAL,500,600
129,LAG-TN303,Tôle N°30 3m×1.5m,Feuille,LAGO METAL,"1,167","1,400"
130,LAG-BAG,Baguette Soudure 3.5 MATICA,Paquet,LAGO METAL,91.67,110
131,LAG-ACR,Acres Industriels,Unité,LAGO METAL,2.917,3.5
132,LAG-PAT25,Patin Plastique Ø25mm rond,Pièce,LAGO METAL,1.667,2
133,LAG-PAT60,Patin Plastique 60mm carré,Pièce,LAGO METAL,5,6
134,LAG-POM80,Pomelle 80mm Normal,Pièce,LAGO METAL,3.333,4
135,LAG-POM150,Pomelle 150mm,Pièce,LAGO METAL,16.67,20
136,LAG-SER70,Serrure Joff N°70,Pièce,LAGO METAL,70.83,85
137,SGU-TC16,Tube Carré 16×2mm,ML,SGUIFER,50,60
138,SGU-TC2015,Tube Carré 20×1.5mm,ML,SGUIFER,62.5,75
139,SGU-TC20,Tube Carré 20×2mm,ML,SGUIFER,97.08,116.5
140,SGU-TC25,Tube Carré 25×2mm,ML,SGUIFER,105.8,127
141,SGU-TC40,Tube Carré 40×2mm,ML,SGUIFER,166.7,200
142,SGU-TC80,Tube Carré 80×2mm,ML,SGUIFER,108.3,130
143,SGU-TR2030,Tube Rectangle 20×30×1.5mm,ML,SGUIFER,79.17,95
144,SGU-TR2030X,Tube Rectangle 20×30×2mm,ML,SGUIFER,137.5,165
145,SGU-TR2040,Tube Rectangle 20×40×1.5mm,ML,SGUIFER,91.67,110
